Output1,Output2,Output3,Output4,Truth
6 children are walking down the street with a person,6 children are walking down the street with a park,6 children are walking down the street with a party,6 children are walking down the street with a pool,Six or seven people are standing on a pier with a table and a pair of glasses in the foreground
The people are sitting on a bench,The people are sitting on a street,The people are sitting outside,The people are sitting on a beach,They are in a boat
A woman is walking down the street with a children,A woman is walking down the street,A woman is walking down the street with a red ball,A man is walking down the street,A person in a red shirt and black pants hunched over
A man is walking down the street,A woman is walking down a street,A man is walking down a street,A woman is sitting on a bench,A person wears a red shirt
A woman is walking down the street with a children,A woman is walking down the street,A woman is walking down the street with a red ball,A man is walking down the street,A person in a red shirt and black pants hunched over
The man is wearing a blue shirt,The man is wearing a restaurant,The man is wearing a red shirt,The man is wearing a blue jeans,The person is a woman
A woman is walking down the street with a children,A woman is walking down the street,A woman is walking down the street with a red ball,A man is walking down the street,A person in a red shirt and black pants hunched over
The woman is wearing a green shirt,The man is wearing a green shirt,The woman is wearing a black shirt,The woman is wearing a blue shirt,The person is wearing a green shirt
The woman is standing outside,The people are sitting on a bench,The people are sitting on their beach,The woman is standing outside of a crowd,This child is on the library steps
The woman is sitting on a bench,The woman is sitting outside,The woman is sitting on a street,The man is sitting on a bench,The child is on the school steps
The woman is standing outside,The people are sitting on a bench,The people are sitting on their beach,The woman is standing outside of a crowd,This child is on the library steps
The woman is sitting outside,The woman is sitting on a bench,The man is wearing a blue shirt,The man is sitting outside,The child is on the steps
The woman is standing outside,The people are sitting on a bench,The people are sitting on their beach,The woman is standing outside of a crowd,This child is on the library steps
The man is wearing a blue shirt,The woman is sitting on a bench,The woman is sitting on a street,The woman is sitting outside,The child is on the steps inside the library
The woman is wearing a blue shirt,The man is wearing a blue shirt,The man is wearing a black shirt,The man is wearing a blue jacket,The tattooed basketball player is about to dunk the ball
The man is wearing a blue shirt,The woman is sitting on a bench,The woman is sitting outside,The woman is wearing a hat,The man is playing football.
The woman is wearing a blue shirt,The man is wearing a blue shirt,The man is wearing a black shirt,The man is wearing a blue jacket,The tattooed basketball player is about to dunk the ball
The woman is sitting outside,The man is sitting on a bench,The man is sitting outside,The woman is sitting on a bike,The person is playing basketball
The woman is wearing a blue shirt,The man is wearing a blue shirt,The man is wearing a black shirt,The man is wearing a blue jacket,The tattooed basketball player is about to dunk the ball
The woman is wearing a blue shirt,The man is wearing a blue shirt,The man is wearing a black shirt,The man is wearing a blue jacket,The player has a tattoo that says mother
A woman in a red shirt is sitting on the street,A woman in a red shirt is sitting on the ground,A woman in a red shirt is sitting on the beach,A woman in a red shirt is sitting on the grass,a boy in a red hooded top is smiling whilst looking away from his reflection
A group of people are sitting on the beach,A group of people are standing outside,A group of people are sitting in the water,A group of people are sitting outside,A boy in a red hood is happy
